family	docs	examples	example_family_labels	stable_api_tokens	precompile_tokens	notes
Core layout	docs/API_WIDGETS.md,docs/COMPONENT_CATALOG.md	examples/layout_quickstart.jl	Layout composition	Border,Card,Panel,Row,Column,Box,ScrollView,Viewport	Border,Card,Panel,Row,Column,Box,ScrollView,Viewport	Core layout contracts include blocks, rows, columns, boxes, scrolling, and viewport composition.
Text and structure	docs/API_WIDGETS.md,docs/COMPONENT_CATALOG.md	examples/text_quickstart.jl	Text and structure	Label,Paragraph,Heading,MarkupText,Rule	Label,Paragraph,Heading,MarkupText,Rule	Text and structure family now includes labels, paragraphs, headings, and semantic text primitives.
Inputs and controls	docs/API_CONTROLS.md,docs/COMPONENT_CATALOG.md	examples/controls_quickstart.jl	Controls and forms	Button,TextInput,TextArea,Checkbox,Select,Input,ComboBox	Button,TextInput,TextArea,Checkbox,Select,Input,ComboBox	Inputs and controls family covers forms, editable text widgets, and selection controls.
Navigation	docs/API_NAVIGATION.md,docs/COMPONENT_CATALOG.md	examples/navigation_quickstart.jl	Navigation surfaces	NavigationRail,Screen,ScreenStack,Tabs	NavigationRail,Screen,ScreenStack,Tabs	Navigation family covers routed transitions, screen and stack navigation, and tab state.
Data and virtualization	docs/API_VIRTUALIZATION.md	examples/data_display_quickstart.jl,examples/virtualization_quickstart.jl	Data display,Virtual data	Table,Tree,VirtualList,VirtualTable,VirtualTree,PropertyList,KeyValueList	Table,Tree,VirtualList,VirtualTable,VirtualTree,PropertyList,KeyValueList	Data and virtualization family includes tables, trees, virtual lists, and list/value-style content views.
Visualization	docs/API_WIDGETS.md,docs/API_GRAPHICS.md	examples/visualization_quickstart.jl	Visualization	Gauge,Sparkline,Plot,Canvas,ImageView,Timeline	Gauge,Sparkline,Plot,Canvas,ImageView,Timeline	Visualization family covers gauges, charts, sparklines, raster output, and image/timeline rendering.
Rich content	docs/API_RICH_CONTENT.md	examples/rich_content_quickstart.jl	Rich content	MarkdownView,CodeView,DiffView,SyntaxView,AnsiView	MarkdownView,CodeView,DiffView,SyntaxView,AnsiView	Rich content family covers markdown, code, syntax, diff, ANSI, and rich text widgets.
Runtime and services	docs/API_EXTENSIONS_SERVICES.md,docs/API_BACKENDS_RUNTIME.md	examples/services_quickstart.jl	Services	NotificationManager,NotificationCenter,NotificationView,Progress,ProgressTracker	NotificationManager,NotificationCenter,NotificationView,Progress,ProgressTracker	Runtime and services family covers notifications, progress rendering, and runtime service surfaces.
Toolkit	docs/API_TOOLKIT.md,docs/DEVELOPER_GUIDE.md	examples/toolkit_quickstart.jl	Toolkit	ToolkitTree,Element,ElementModifier,ComponentState,StatefulComponent,ToolkitPilot,StyleEngine	ToolkitTree,Element,ElementModifier,ComponentState,StatefulComponent,ToolkitPilot,StyleEngine	Toolkit family covers retained trees, element rendering, functional component state and effects, reusable modifiers, pilot tooling, and stylesheet integration.
Testing and semantics	docs/API_SEMANTICS_TESTING.md,docs/ACCESSIBILITY_TESTING.md	examples/testing_quickstart.jl	Testing and semantics	WidgetPilot,ToolkitPilot,SemanticQuery	WidgetPilot,ToolkitPilot,SemanticQuery	Testing and semantics family covers pilot semantics, semantic snapshots, and query-driven assertions.
